Membership No  Date Joined  Active  
    20081      2019-6-2     no    
    16772      2019-9-22    no    
    15221      2018-5-8     no    
    90008      2015-6-17    no    
    48044      2020-7-20    no    
    18752      2016-5-9     no    
    34241      2015-3-18    no    
    91403      2018-9-3     no    
    53747      2019-7-21    no    
    62466      2015-4-2     no    
    92813      2015-9-6     no    
    89286      2016-3-15    no    
    65129      2017-5-10    no    
